name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
In God We Trust (or Gimme That Prime Time Religion),PG,Comedy,1980,"September 26, 1980 (United States)",5.5,965.0,Marty Feldman,Marty Feldman,Marty Feldman,United States,,5215015.0,Universal Pictures,97.0
Roadie,PG,Comedy,1980,"June 13, 1980 (United States)",5.2,1100.0,Alan Rudolph,Big Boy Medlin,Meat Loaf,United States,,4226370.0,Alive Enterprises,106.0
Just Tell Me What You Want,R,Comedy,1980,"January 18, 1980 (United States)",5.5,585.0,Sidney Lumet,Jay Presson Allen,Ali MacGraw,United States,,2086905.0,Warner Bros.,112.0
Little Miss Marker,PG,Comedy,1980,"March 21, 1980 (United States)",6.3,1400.0,Walter Bernstein,Damon Runyon,Walter Matthau,United States,,6321392.0,Universal Pictures,103.0
Willie & Phil,R,Comedy,1980,"August 15, 1980 (United States)",5.9,415.0,Paul Mazursky,Jean Gruault,Michael Ontkean,United States,5500000.0,4400000.0,Twentieth Century Fox,115.0
Loving Couples,PG,Comedy,1980,"October 24, 1980 (United States)",5.2,351.0,Jack Smight,Martin Donovan,Shirley MacLaine,United States,,2806659.0,Time Life Films,97.0
"Oh, God! Book II",PG,Comedy,1980,"October 3, 1980 (United States)",5.2,2100.0,Gilbert Cates,Josh Greenfeld,George Burns,United States,,14504277.0,Warner Bros.,94.0
"Those Lips, Those Eyes",R,Comedy,1980,"August 15, 1980 (United States)",6.5,269.0,Michael Pressman,David Shaber,Frank Langella,United States,,804713.0,Herb Jaffe,105.0
La Cage aux Folles II,R,Comedy,1980,"February 15, 1981 (United States)",5.8,1900.0,Ãdouard Molinaro,Jean Poiret,Michel Serrault,France,,6950125.0,Da.Ma. Cinematografica,102.0
The Gong Show Movie,R,Comedy,1980,"May 23, 1980 (United States)",4.3,740.0,Chuck Barris,Chuck Barris,Chuck Barris,United States,,6621520.0,Chuck Barris Productions,89.0
Gilda Live,R,Comedy,1980,"March 28, 1980 (United States)",6.8,599.0,Mike Nichols,Anne Beatts,Gilda Radner,United States,,2261507.0,Broadway Productions,96.0
Why Would I Lie?,PG,Comedy,1980,"August 8, 1980 (United States)",6.5,211.0,Larry Peerce,Hollis Hodges,Treat Williams,United States,,1175855.0,Metro-Goldwyn-Mayer (MGM),105.0
First Family,R,Comedy,1980,"December 25, 1980 (United States)",4.3,593.0,Buck Henry,Buck Henry,Bob Newhart,United States,,15198912.0,F.F. Associates,97.0
An American Werewolf in London,R,Comedy,1981,"August 21, 1981 (United States)",7.5,97000.0,John Landis,John Landis,David Naughton,United Kingdom,10000000.0,30669378.0,Polygram Pictures,97.0
Porky's,R,Comedy,1981,"March 19, 1982 (United States)",6.2,40000.0,Bob Clark,Bob Clark,Dan Monahan,Canada,2500000.0,111289673.0,Astral Bellevue PathÃ©,94.0
Stripes,R,Comedy,1981,"June 26, 1981 (United States)",6.9,68000.0,Ivan Reitman,Len Blum,Bill Murray,United States,10000000.0,85297000.0,Columbia Pictures,106.0
The Four Seasons,PG,Comedy,1981,"May 22, 1981 (United States)",6.8,4200.0,Alan Alda,Alan Alda,Alan Alda,United States,,50427646.0,Universal Pictures,107.0
Arthur,PG,Comedy,1981,"July 17, 1981 (United States)",6.9,27000.0,Steve Gordon,Steve Gordon,Dudley Moore,United States,7000000.0,95461682.0,Orion Pictures,97.0
Caveman,PG,Comedy,1981,"April 17, 1981 (United States)",5.8,7300.0,Carl Gottlieb,Rudy De Luca,Ringo Starr,United States,,15965924.0,Estudios Churubusco Azteca S.A.,91.0
History of the World: Part I,R,Comedy,1981,"June 12, 1981 (United States)",6.9,47000.0,Mel Brooks,Mel Brooks,Mel Brooks,United States,11000000.0,31672907.0,Brooksfilms,92.0
Private Lessons,R,Comedy,1981,"June 10, 1981 (United States)",5.2,3400.0,Alan Myerson,Dan Greenburg,Sylvia Kristel,United States,2800000.0,26279000.0,Barry & Enright Productions,87.0
S.O.B.,R,Comedy,1981,"July 1, 1981 (United States)",6.4,5700.0,Blake Edwards,Blake Edwards,Julie Andrews,United States,12000000.0,14867086.0,Artista Management,122.0
Nice Dreams,R,Comedy,1981,"June 5, 1981 (United States)",6.2,7100.0,Tommy Chong,Tommy Chong,Cheech Marin,United States,,37000000.0,C & C Brown Production,88.0
Neighbors,R,Comedy,1981,"December 18, 1981 (United States)",5.6,7600.0,John G. Avildsen,Thomas Berger,John Belushi,United States,8500000.0,29916207.0,Columbia Pictures,94.0
Puberty Blues,R,Comedy,1981,"December 10, 1981 (Australia)",5.9,1300.0,Bruce Beresford,Margaret Kelly,Nell Schofield,Australia,,237000.0,Limelight Productions (II),87.0
Student Bodies,R,Comedy,1981,"August 7, 1981 (United States)",5.5,4400.0,Mickey Rose,Mickey Rose,Kristen Riter,United States,,5165432.0,Allen Smithee Classic Films,86.0
Continental Divide,PG,Comedy,1981,"September 18, 1981 (United States)",6.2,4800.0,Michael Apted,Lawrence Kasdan,John Belushi,United States,,15578237.0,Universal Pictures,103.0
Under the Rainbow,PG,Comedy,1981,"July 31, 1981 (United States)",5.4,2600.0,Steve Rash,Fred Bauer,Chevy Chase,United States,20000000.0,18826490.0,Innovisions,98.0
Carbon Copy,PG,Comedy,1981,"September 25, 1981 (United States)",5.6,2600.0,Michael Schultz,Stanley Shapiro,George Segal,United States,6000000.0,9566593.0,DeHaven/Shapiro Productions,92.0
The Incredible Shrinking Woman,PG,Comedy,1981,"January 30, 1981 (United States)",5.5,4500.0,Joel Schumacher,Richard Matheson,Lily Tomlin,United States,,20259961.0,Lija Productions,88.0
Modern Problems,PG,Comedy,1981,"December 25, 1981 (United States)",5.1,4900.0,Ken Shapiro,Ken Shapiro,Chevy Chase,United States,8000000.0,26154211.0,Twentieth Century Fox,93.0
Buddy Buddy,R,Comedy,1981,"December 11, 1981 (United States)",6.5,4500.0,Billy Wilder,Francis Veber,Jack Lemmon,United States,10000000.0,7258543.0,Heron Productions,96.0
Bustin' Loose,R,Comedy,1981,"May 22, 1981 (United States)",6.1,2900.0,Oz Scott,Lonne Elder III,Richard Pryor,United States,11000000.0,31261269.0,Universal Pictures,94.0
Modern Romance,R,Comedy,1981,"March 13, 1981 (United States)",7.0,3600.0,Albert Brooks,Albert Brooks,Albert Brooks,United States,,2863642.0,Columbia Pictures,93.0
Heartbeeps,PG,Comedy,1981,"December 18, 1981 (United States)",4.3,1300.0,Allan Arkush,John Hill,Andy Kaufman,United States,12000000.0,2154696.0,Universal Pictures,78.0
Take This Job and Shove It,PG,Comedy,1981,"May 15, 1981 (United States)",5.0,761.0,Gus Trikonis,Barry Schneider,Robert Hays,United States,3500000.0,17569027.0,Cinema Group Ventures,100.0
Whose Life Is It Anyway?,R,Comedy,1981,"January 22, 1982 (United States)",7.3,2700.0,John Badham,Brian Clark,Richard Dreyfuss,United States,13000000.0,8206145.0,Metro-Goldwyn-Mayer (MGM),119.0
All Night Long,R,Comedy,1981,"March 6, 1981 (United States)",5.5,1700.0,Jean-Claude Tramont,W.D. Richter,Gene Hackman,United States,14000000.0,4454295.0,Universal Pictures,87.0
Only When I Laugh,R,Comedy,1981,"September 25, 1981 (United States)",6.5,1300.0,Glenn Jordan,Neil Simon,Marsha Mason,United States,,25524778.0,Columbia Pictures,120.0
Paternity,PG,Comedy,1981,"October 2, 1981 (United States)",4.9,920.0,David Steinberg,Charlie Peters,Burt Reynolds,United States,,18838812.0,Paramount Pictures,94.0
The Devil and Max Devlin,PG,Comedy,1981,"March 6, 1981 (United States)",5.0,1200.0,Steven Hilliard Stern,Mary Rodgers,Elliott Gould,United States,,16000000.0,Walt Disney Productions,96.0
Longshot,TV-PG,Comedy,1981,1981 (United States),5.1,101.0,E.W. Swackhamer,Barry Rosen,Leif Garrett,United States,,,Greentree,100.0
Fast Times at Ridgemont High,R,Comedy,1982,"August 13, 1982 (United States)",7.2,98000.0,Amy Heckerling,Cameron Crowe,Sean Penn,United States,4500000.0,27092880.0,Universal Pictures,90.0
Grease 2,PG,Comedy,1982,"June 11, 1982 (United States)",4.4,34000.0,Patricia Birch,Ken Finkleman,Michelle Pfeiffer,United States,13200000.0,15171476.0,Paramount Pictures,115.0
Annie,PG,Comedy,1982,"June 18, 1982 (United States)",6.6,41000.0,John Huston,Carol Sobieski,Aileen Quinn,United States,50000000.0,57063861.0,Columbia Pictures,127.0
The Last American Virgin,R,Comedy,1982,"July 30, 1982 (United States)",6.3,8100.0,Boaz Davidson,Boaz Davidson,Lawrence Monoson,United States,,5829781.0,Cannon Group,92.0
Tootsie,PG,Comedy,1982,"December 17, 1982 (United States)",7.4,100000.0,Sydney Pollack,Don McGuire,Dustin Hoffman,United States,21000000.0,177200000.0,Columbia Pictures,116.0
The King of Comedy,PG,Comedy,1982,"February 18, 1983 (Brazil)",7.8,94000.0,Martin Scorsese,Paul D. Zimmerman,Robert De Niro,United States,20000000.0,2536242.0,Embassy International Pictures,109.0
Creepshow,R,Comedy,1982,"November 12, 1982 (United States)",6.9,44000.0,George A. Romero,Stephen King,Hal Holbrook,United States,8000000.0,21028755.0,United Film Distribution Company (UFDC),120.0
Zapped!,R,Comedy,1982,"September 3, 1982 (United States)",4.9,6500.0,Robert J. Rosenthal,Bruce Rubin,Scott Baio,United States,,16897768.0,Embassy Pictures,98.0
Six Pack,PG,Comedy,1982,"July 16, 1982 (United States)",5.9,2800.0,Daniel Petrie,Mike Marvin,Kenny Rogers,United States,,20225989.0,Twentieth Century Fox,108.0
The World According to Garp,R,Comedy,1982,"July 23, 1982 (United States)",7.2,25000.0,George Roy Hill,John Irving,Robin Williams,United States,17000000.0,29712172.0,Pan Arts,136.0
Diner,R,Comedy,1982,"May 21, 1982 (United States)",7.1,19000.0,Barry Levinson,Barry Levinson,Steve Guttenberg,United States,5000000.0,14099953.0,Metro-Goldwyn-Mayer (MGM),110.0
The Best Little Whorehouse in Texas,R,Comedy,1982,"July 23, 1982 (United States)",6.0,10000.0,Colin Higgins,Larry L. King,Burt Reynolds,United States,35000000.0,69701637.0,Universal Pictures,114.0
Night Shift,R,Comedy,1982,"July 30, 1982 (United States)",6.6,15000.0,Ron Howard,Lowell Ganz,Henry Winkler,United States,,21095638.0,Major Studio Partners,106.0
Summer Lovers,R,Comedy,1982,"July 16, 1982 (United States)",5.7,3900.0,Randal Kleiser,Randal Kleiser,Peter Gallagher,United States,,4968000.0,Filmways Pictures,98.0
Victor Victoria,PG,Comedy,1982,"March 19, 1982 (United States)",7.6,20000.0,Blake Edwards,Blake Edwards,Julie Andrews,United Kingdom,,28229046.0,Metro-Goldwyn-Mayer (MGM),134.0
Airplane II: the Sequel,PG,Comedy,1982,"December 10, 1982 (United States)",6.2,50000.0,Ken Finkleman,Ken Finkleman,Robert Hays,United States,15000000.0,27150534.0,Paramount Pictures,85.0
The Toy,PG,Comedy,1982,"December 10, 1982 (United States)",5.8,11000.0,Richard Donner,Francis Veber,Richard Pryor,United States,17000000.0,47118057.0,Columbia Pictures,102.0
Dead Men Don't Wear Plaid,PG,Comedy,1982,"May 21, 1982 (United States)",6.9,21000.0,Carl Reiner,Carl Reiner,Steve Martin,United States,9000000.0,18196170.0,Aspen Film Society,88.0
Cannery Row,PG,Comedy,1982,"February 12, 1982 (United States)",6.7,3500.0,David S. Ward,John Steinbeck,Nick Nolte,United States,11300000.0,5301539.0,Chai Productions,120.0
Deathtrap,PG,Comedy,1982,"March 19, 1982 (United States)",7.0,13000.0,Sidney Lumet,Ira Levin,Michael Caine,United States,,19282134.0,Warner Bros.,116.0
Tempest,PG,Comedy,1982,"September 24, 1982 (United States)",6.5,2200.0,Paul Mazursky,Paul Mazursky,John Cassavetes,United States,13000000.0,5005245.0,Columbia Pictures,140.0
Young Doctors in Love,R,Comedy,1982,"July 16, 1982 (United States)",5.5,3000.0,Garry Marshall,Michael Elias,Michael McKean,United States,,30688860.0,ABC Motion Pictures,96.0
My Favorite Year,PG,Comedy,1982,"October 8, 1982 (United States)",7.4,9000.0,Richard Benjamin,Norman Steinberg,Peter O'Toole,United States,,20123620.0,Metro-Goldwyn-Mayer (MGM),92.0
Honkytonk Man,PG,Comedy,1982,"December 15, 1982 (United States)",6.6,8200.0,Clint Eastwood,Clancy Carlile,Clint Eastwood,United States,2000000.0,4484991.0,The Malpaso Company,122.0
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",PG,Comedy,1982,"April 6, 1983 (France)",7.2,4200.0,Robert Altman,Ed Graczyk,Cher,United States,850000.0,840958.0,Sandcastle 5 Productions,109.0
Trail of the Pink Panther,PG,Comedy,1982,"December 17, 1982 (United States)",5.0,9800.0,Blake Edwards,Blake Edwards,Peter Sellers,United Kingdom,6000000.0,9056073.0,United Artists,96.0
Kiss Me Goodbye,PG,Comedy,1982,"December 22, 1982 (United States)",6.0,1900.0,Robert Mulligan,Bruno Barreto,Sally Field,United States,,15782759.0,Twentieth Century Fox,101.0
A Midsummer Night's Sex Comedy,PG,Comedy,1982,"July 16, 1982 (United States)",6.6,19000.0,Woody Allen,Woody Allen,Woody Allen,United States,,9077269.0,Jack Rollins & Charles H. Joffe Productions,88.0
Best Friends,PG,Comedy,1982,"December 17, 1982 (United States)",5.5,2700.0,Norman Jewison,Valerie Curtin,Burt Reynolds,United States,15000000.0,36821203.0,Warner Bros.,116.0
Lookin' to Get Out,R,Comedy,1982,"June 30, 1983 (Australia)",5.1,684.0,Hal Ashby,Al Schwartz,Jon Voight,United States,17000000.0,946461.0,Lorimar Productions,105.0
A Little Sex,R,Comedy,1982,"April 2, 1982 (United States)",4.9,501.0,Bruce Paltrow,Robert De Laurentiis,Tim Matheson,United States,,2370376.0,Company Four,95.0
Class Reunion,R,Comedy,1982,"October 29, 1982 (United States)",4.7,2000.0,Michael Miller,John Hughes,Gerrit Graham,United States,,10054150.0,ABC Motion Pictures,84.0
Author! Author!,PG,Comedy,1982,"June 18, 1982 (United States)",6.2,5100.0,Arthur Hiller,Israel Horovitz,Al Pacino,United States,,13111101.0,Twentieth Century Fox,110.0
Wrong Is Right,R,Comedy,1982,"May 14, 1982 (United States)",5.7,1800.0,Richard Brooks,Charles McCarry,Sean Connery,United States,10000000.0,3583513.0,Columbia Pictures,117.0
The Missionary,R,Comedy,1982,"November 5, 1982 (United States)",6.2,2100.0,Richard Loncraine,Michael Palin,Michael Palin,United Kingdom,,7241180.0,HandMade Films,90.0
The Escape Artist,PG,Comedy,1982,"May 28, 1982 (United States)",6.2,683.0,Caleb Deschanel,David Wagoner,Raul Julia,United States,,143369.0,Zoetrope Studios,94.0
Homework,R,Comedy,1982,"August 27, 1982 (United States)",3.5,322.0,James Beshears,Maurice Peterson,Joan Collins,United States,,2914328.0,Jensen Farley Pictures,90.0
Jinxed!,R,Comedy,1982,"October 22, 1982 (United States)",4.7,984.0,Don Siegel,Frank D. Gilroy,Bette Midler,United States,13400000.0,2869638.0,Herb Jaffe,103.0
Some Kind of Hero,R,Comedy,1982,"April 2, 1982 (United States)",5.8,1400.0,Michael Pressman,Robert Boris,Richard Pryor,United States,,23671186.0,Paramount Pictures,97.0
Partners,R,Comedy,1982,"April 30, 1982 (United States)",5.3,1200.0,James Burrows,Francis Veber,Ryan O'Neal,United States,6000000.0,6062898.0,Paramount Pictures,93.0
Richard Pryor: Live on the Sunset Strip,R,Comedy,1982,"March 12, 1982 (United States)",7.7,3900.0,Joe Layton,Paul Mooney,Richard Pryor,United States,,36299720.0,Columbia Pictures,82.0
"Yes, Giorgio",PG,Comedy,1982,"September 24, 1982 (United States)",3.9,653.0,Franklin J. Schaffner,Anne Piper,Luciano Pavarotti,United States,19000000.0,2279543.0,Metro-Goldwyn-Mayer (MGM),110.0
I Ought to Be in Pictures,PG,Comedy,1982,"March 26, 1982 (United States)",6.2,895.0,Herbert Ross,Neil Simon,Walter Matthau,United States,,6968359.0,Twentieth Century Fox,108.0
Boardinghouse,R,Comedy,1982,"October 21, 1983 (United States)",3.8,651.0,John Wintergate,John Wintergate,John Wintergate,United States,10000.0,,Blustarr,98.0
The Personals,PG,Comedy,1982,October 1982 (United States),6.7,75.0,Peter Markle,Peter Markle,Bill Schoppert,United States,435000.0,,Blueline Productions,90.0
Lonely Hearts,R,Comedy,1982,"October 21, 1982 (Australia)",6.8,336.0,Paul Cox,Paul Cox,Wendy Hughes,Australia,,777087.0,Adam Packer Film Productions,106.0
Risky Business,R,Comedy,1983,"August 5, 1983 (United States)",6.8,83000.0,Paul Brickman,Paul Brickman,Tom Cruise,United States,6200000.0,63541777.0,The Geffen Company,99.0
Trading Places,R,Comedy,1983,"June 8, 1983 (United States)",7.5,141000.0,John Landis,Timothy Harris,Eddie Murphy,United States,15000000.0,90404800.0,Cinema Group Ventures,116.0
The Big Chill,R,Comedy,1983,"September 30, 1983 (United States)",7.2,34000.0,Lawrence Kasdan,Lawrence Kasdan,Tom Berenger,United States,8000000.0,56399659.0,Columbia Pictures,105.0
Spring Break,R,Comedy,1983,"March 25, 1983 (United States)",4.9,2800.0,Sean S. Cunningham,David Smilow,David Knell,United States,,24071666.0,Columbia Pictures,102.0
Private School,R,Comedy,1983,"July 29, 1983 (United States)",5.3,6100.0,Noel Black,Dan Greenburg,Phoebe Cates,United States,3500000.0,14049540.0,Unity Productions,89.0
Valley Girl,R,Comedy,1983,"April 29, 1983 (United States)",6.4,14000.0,Martha Coolidge,Andrew Lane,Nicolas Cage,United States,350000.0,17343596.0,Atlantic Entertainment Group,99.0
Terms of Endearment,PG,Comedy,1983,"December 9, 1983 (United States)",7.4,57000.0,James L. Brooks,Larry McMurtry,Shirley MacLaine,United States,8000000.0,108423749.0,Paramount Pictures,132.0
A Christmas Story,PG,Comedy,1983,"November 18, 1983 (United States)",7.9,134000.0,Bob Clark,Jean Shepherd,Peter Billingsley,United States,3300000.0,20653717.0,Metro-Goldwyn-Mayer (MGM),93.0
Mr. Mom,PG,Comedy,1983,"August 19, 1983 (United States)",6.6,22000.0,Stan Dragoti,John Hughes,Michael Keaton,United States,,64783827.0,Sherwood Productions,91.0
Local Hero,PG,Comedy,1983,"March 17, 1983 (United Kingdom)",7.4,22000.0,Bill Forsyth,Bill Forsyth,Burt Lancaster,United Kingdom,,5899678.0,Enigma Productions,111.0
My Tutor,R,Comedy,1983,"April 22, 1983 (United States)",5.2,3300.0,George Bowers,Joe Roberts,Matt Lattanzi,United States,,22587834.0,Marimark Productions,97.0
The Meaning of Life,R,Comedy,1983,"March 31, 1983 (United States)",7.5,115000.0,Terry Jones,Graham Chapman,John Cleese,United Kingdom,9000000.0,14949697.0,Celandine Films,107.0
Hot Dog... The Movie,R,Comedy,1983,"January 13, 1984 (United States)",5.0,3200.0,Peter Markle,Mike Marvin,David Naughton,United States,,20307325.0,Edward S. Feldman Productions,96.0
Porky's II: The Next Day,R,Comedy,1983,"June 24, 1983 (United States)",5.0,11000.0,Bob Clark,Roger Swaybill,Dan Monahan,Canada,6500000.0,33759266.0,Astral Bellevue PathÃ©,98.0
Easy Money,R,Comedy,1983,"August 19, 1983 (United States)",6.3,8200.0,James Signorelli,Rodney Dangerfield,Rodney Dangerfield,United States,,29309766.0,Easy Money Associates,95.0
Losin' It,R,Comedy,1983,"April 22, 1983 (United States)",4.9,4200.0,Curtis Hanson,Bill Norton,Tom Cruise,Canada,7000000.0,1246141.0,Tiberius Film Productions,100.0
Screwballs,R,Comedy,1983,"April 1, 1983 (United States)",4.7,3000.0,Rafal Zielinski,Linda Shayne,Peter Keleghan,Canada,800000.0,2082215.0,Millenium,80.0
The Man with Two Brains,R,Comedy,1983,"June 3, 1983 (United States)",6.4,25000.0,Carl Reiner,George Gipe,Steve Martin,United States,,10353438.0,Aspen Film Society,93.0
Doctor Detroit,R,Comedy,1983,"May 6, 1983 (United States)",5.2,5400.0,Michael Pressman,Bruce Jay Friedman,Dan Aykroyd,United States,,10375893.0,Black Rhino Productions,89.0
Two of a Kind,PG,Comedy,1983,"December 16, 1983 (United States)",4.7,3900.0,John Herzfeld,John Herzfeld,John Travolta,United States,14000000.0,23646952.0,Twentieth Century Fox,88.0
The Pirates of Penzance,G,Comedy,1983,"February 18, 1983 (United States)",7.1,3300.0,Wilford Leach,W.S. Gilbert,Kevin Kline,United Kingdom,,694497.0,Universal Pictures,112.0
Educating Rita,PG,Comedy,1983,"October 28, 1983 (United States)",7.2,13000.0,Lewis Gilbert,Willy Russell,Michael Caine,United Kingdom,,14648076.0,Acorn Pictures,110.0
Zelig,PG,Comedy,1983,"August 25, 1983 (Argentina)",7.7,41000.0,Woody Allen,Woody Allen,Woody Allen,United States,,11798616.0,Jack Rollins & Charles H. Joffe Productions,79.0
To Be or Not to Be,PG,Comedy,1983,"December 16, 1983 (United States)",6.8,10000.0,Alan Johnson,Thomas Meehan,Mel Brooks,United States,9000000.0,13030214.0,Brooksfilms,107.0
Still Smokin,R,Comedy,1983,"May 6, 1983 (United States)",5.6,7400.0,Tommy Chong,Tommy Chong,Cheech Marin,United States,,15543710.0,Paramount Pictures,91.0
Curse of the Pink Panther,PG,Comedy,1983,"August 12, 1983 (United States)",4.3,5700.0,Blake Edwards,Blake Edwards,David Niven,United Kingdom,11000000.0,4491986.0,United Artists,109.0
The Survivors,R,Comedy,1983,"June 22, 1983 (United States)",5.8,4700.0,Michael Ritchie,Michael Leeson,Walter Matthau,United States,12000000.0,14000000.0,Rastar Films,103.0
The Man Who Loved Women,R,Comedy,1983,"December 16, 1983 (United States)",5.3,2200.0,Blake Edwards,Blake Edwards,Burt Reynolds,United States,19000000.0,10964740.0,Delphi Films,110.0
Deal of the Century,PG,Comedy,1983,"November 4, 1983 (United States)",4.6,3600.0,William Friedkin,Paul Brickman,Chevy Chase,United States,10000000.0,10369581.0,Warner Bros.,99.0
Max Dugan Returns,PG,Comedy,1983,"March 25, 1983 (United States)",6.6,3300.0,Herbert Ross,Neil Simon,Jason Robards,United States,,17613720.0,Twentieth Century Fox,98.0
The Sting II,PG,Comedy,1983,"February 18, 1983 (United States)",4.9,2100.0,Jeremy Kagan,David S. Ward,Jackie Gleason,United States,,6347072.0,Universal Pictures,101.0
Baby It's You,R,Comedy,1983,"March 4, 1983 (United States)",6.3,1700.0,John Sayles,Amy Robinson,Rosanna Arquette,United States,3000000.0,1867792.0,Double Play,105.0
Going Berserk,R,Comedy,1983,"September 30, 1983 (United States)",5.2,1700.0,David Steinberg,Dana Olsen,John Candy,Canada,,,Les Productions Mutuelles LtÃ©e,85.0
Get Crazy,R,Comedy,1983,"August 5, 1983 (United States)",6.7,1100.0,Allan Arkush,Danny Opatoshu,Malcolm McDowell,United States,5500000.0,1645711.0,D & P Productions,92.0
Getting It on,R,Comedy,1983,August 1983 (United States),3.7,208.0,William Olsen,William Olsen,Martin Yost,United States,220000.0,975414.0,Seventh Avenue Films,96.0
Better Late Than Never,PG,Comedy,1983,"April 15, 1983 (United States)",5.8,115.0,Bryan Forbes,Gwen Davis,David Niven,United Kingdom,,,Golden Harvest Company,89.0
Lovesick,PG,Comedy,1983,"February 18, 1983 (United States)",5.2,747.0,Marshall Brickman,Marshall Brickman,Dudley Moore,United States,10100000.0,10171304.0,The Ladd Company,95.0
Trenchcoat,PG,Comedy,1983,"March 11, 1983 (United States)",5.3,456.0,Michael Tuchner,Jeffrey Price,Margot Kidder,United States,5000000.0,4304286.0,Walt Disney Productions,91.0
