name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Cujo,R,Horror,1983,"August 12, 1983 (United States)",6.1,41000.0,Lewis Teague,Stephen King,Dee Wallace,United States,5000000.0,21156152.0,Sunn Classic Pictures,93.0
Mortuary,R,Horror,1983,"September 2, 1983 (United States)",5.2,1900.0,Howard Avedis,Howard Avedis,Mary Beth McDonough,United States,250000.0,4319001.0,Hickmar Productions,93.0
Amityville 3-D,PG,Horror,1983,"November 18, 1983 (United States)",4.1,6000.0,Richard Fleischer,David Ambrose,Tony Roberts,Mexico,6000000.0,6333135.0,De Laurentiis Entertainment Group (DEG),105.0
Of Unknown Origin,R,Horror,1983,"November 24, 1983 (United States)",6.1,2900.0,George P. Cosmatos,Chauncey G. Parker III,Peter Weller,Canada,4000000.0,1080470.0,Warner Bros.,88.0
Nightmares,R,Horror,1983,"September 9, 1983 (United States)",5.8,3000.0,Joseph Sargent,Christopher Crowe,Cristina Raines,United States,6000000.0,6670680.0,Universal Pictures,99.0
Strange Invaders,PG,Horror,1983,"September 16, 1983 (United States)",5.5,2700.0,Michael Laughlin,Bill Condon,Paul Le Mat,United States,,1362303.0,EMI Films,94.0
A Nightmare on Elm Street,R,Horror,1984,"November 16, 1984 (United States)",7.5,212000.0,Wes Craven,Wes Craven,Heather Langenkamp,United States,1800000.0,25507137.0,New Line Cinema,91.0
Children of the Corn,R,Horror,1984,"March 9, 1984 (United States)",5.6,49000.0,Fritz Kiersch,Stephen King,Peter Horton,United States,800000.0,14568989.0,Hal Roach Studios,92.0
Friday the 13th: the Final Chapter,R,Horror,1984,"April 13, 1984 (United States)",6.0,47000.0,Joseph Zito,Victor Miller,Erich Anderson,United States,2600000.0,32980880.0,Paramount Pictures,91.0
C.H.U.D.,R,Horror,1984,"August 31, 1984 (United States)",5.6,11000.0,Douglas Cheek,Parnell Hall,John Heard,United States,1250000.0,4654423.0,C.H.U.D. Productions,88.0
"Silent Night, Deadly Night",R,Horror,1984,"November 9, 1984 (United States)",5.9,14000.0,Charles E. Sellier Jr.,Paul Caimi,Lilyan Chauvin,United States,1065000.0,2491460.0,TriStar Pictures,79.0
Razorback,R,Horror,1984,"November 16, 1984 (United States)",6.0,6100.0,Russell Mulcahy,Everett De Roche,Gregory Harrison,Australia,,150463.0,UAA Films,95.0
Impulse,R,Horror,1984,"September 28, 1984 (United States)",5.9,1300.0,Graham Baker,Nicholas Kazan,Tim Matheson,United States,10000000.0,2773433.0,ABC Motion Pictures,91.0
A Nightmare on Elm Street 2: Freddy's Revenge,R,Horror,1985,"November 1, 1985 (United States)",5.5,63000.0,Jack Sholder,David Chaskin,Robert Englund,United States,3000000.0,29999213.0,New Line Cinema,87.0
Day of the Dead,Not Rated,Horror,1985,"July 19, 1985 (United States)",7.1,65000.0,George A. Romero,George A. Romero,Lori Cardille,United States,3500000.0,5000000.0,United Film Distribution Company (UFDC),101.0
Friday the 13th: A New Beginning,R,Horror,1985,"March 22, 1985 (United States)",4.8,35000.0,Danny Steinmann,Martin Kitrosser,Melanie Kinnaman,United States,2200000.0,21930418.0,Georgetown Productions Inc.,92.0
Silver Bullet,R,Horror,1985,"October 11, 1985 (United States)",6.4,25000.0,Daniel Attias,Stephen King,Gary Busey,United States,7000000.0,12361866.0,Dino De Laurentiis Company,95.0
Creature,R,Horror,1985,"March 19, 1986 (France)",4.3,3400.0,William Malone,William Malone,Stan Ivar,United States,750000.0,,Trans World Entertainment (TWE),97.0
Nomads,R,Horror,1985,"March 7, 1986 (United States)",5.3,4000.0,John McTiernan,John McTiernan,Lesley-Anne Down,United States,,2278264.0,Cinema VII,91.0
Friday the 13th Part VI: Jason Lives,R,Horror,1986,"August 1, 1986 (United States)",6.0,40000.0,Tom McLoughlin,Tom McLoughlin,Thom Mathews,United States,3000000.0,19472057.0,Paramount Pictures,86.0
From Beyond,R,Horror,1986,"October 24, 1986 (United States)",6.7,24000.0,Stuart Gordon,H.P. Lovecraft,Jeffrey Combs,United States,4500000.0,1261000.0,Empire Pictures,85.0
Poltergeist II: the Other Side,PG-13,Horror,1986,"May 23, 1986 (United States)",5.7,26000.0,Brian Gibson,Mark Victor,JoBeth Williams,United States,19000000.0,40996665.0,Freddie Fields Productions,91.0
Psycho III,R,Horror,1986,"July 2, 1986 (United States)",5.4,14000.0,Anthony Perkins,Charles Edward Pogue,Anthony Perkins,United States,,14481606.0,Universal Pictures,93.0
Invaders from Mars,PG,Horror,1986,"June 6, 1986 (United States)",5.6,8200.0,Tobe Hooper,Richard Blake,Karen Black,United States,12000000.0,4884663.0,Cannon Pictures,100.0
April Fool's Day,R,Horror,1986,"March 28, 1986 (United States)",6.2,15000.0,Fred Walton,Danilo Bach,Deborah Foreman,United States,5000000.0,12947763.0,Paramount Pictures,89.0
Witchboard,R,Horror,1986,"March 13, 1987 (United States)",5.7,6600.0,Kevin Tenney,Kevin Tenney,Todd Allen,United Kingdom,2000000.0,7369373.0,Paragon Arts International,98.0
Link,R,Horror,1986,"September 19, 1986 (United States)",5.9,2800.0,Richard Franklin,Lee David Zlotoff,Terence Stamp,United Kingdom,,1720450.0,Cannon Screen Entertainment,103.0
Hellraiser,R,Horror,1987,"September 18, 1987 (United States)",7.0,108000.0,Clive Barker,Clive Barker,Andrew Robinson,United Kingdom,,14575193.0,New World Pictures,94.0
Angel Heart,X,Horror,1987,"March 6, 1987 (United States)",7.3,83000.0,Alan Parker,William Hjortsberg,Mickey Rourke,United Kingdom,17000000.0,17186348.0,Carolco International N.V.,113.0
Prince of Darkness,R,Horror,1987,"October 23, 1987 (United States)",6.7,39000.0,John Carpenter,John Carpenter,Donald Pleasence,United States,3000000.0,14182492.0,Alive Films,102.0
The Stepfather,R,Horror,1987,"June 5, 1987 (United States)",6.8,14000.0,Joseph Ruben,Carolyn Lefcourt,Terry O'Quinn,United Kingdom,,2488740.0,Incorporated Television Company (ITC),89.0
The Hidden,R,Horror,1987,"October 30, 1987 (United States)",7.0,18000.0,Jack Sholder,Jim Kouf,Kyle MacLachlan,United States,5000000.0,9747988.0,Heron Communications,97.0
Prom Night II,R,Horror,1987,"October 16, 1987 (United States)",5.7,5600.0,Bruce Pittman,Ron Oliver,Lisa Schrage,Canada,,2683519.0,British Columbia Television,97.0
The Curse,R,Horror,1987,"September 14, 1988 (Spain)",5.1,2900.0,David Keith,David Chaskin,Wil Wheaton,Italy,,1930001.0,Trans World Entertainment (TWE),92.0
"Silent Night, Deadly Night Part 2",R,Horror,1987,"April 10, 1987 (United States)",3.8,6400.0,Lee Harry,Michael Hickey,Eric Freeman,United States,100000.0,,Silent Night Releasing Corporation,88.0
Creepozoids,R,Horror,1987,"October 2, 1987 (United States)",4.0,2100.0,David DeCoteau,Dave Eisenstark,Linnea Quigley,United States,75000.0,,Titan Productions,72.0
The Outing,R,Horror,1987,"November 21, 1987 (Japan)",5.1,1600.0,Tom Daley,Warren Chaney,Deborah Winters,United States,2000000.0,1083395.0,H.I.T. Films,87.0
Nightflyers,R,Horror,1987,"April 7, 1988 (Australia)",4.3,1100.0,Robert Collector,George R.R. Martin,Catherine Mary Stewart,United States,,1149470.0,Vista Organization,89.0
White of the Eye,R,Horror,1987,"June 19, 1987 (United Kingdom)",6.2,2200.0,Donald Cammell,China Kong,David Keith,United Kingdom,,,Mrs. White's Productions,110.0
Anguish,R,Horror,1987,"January 8, 1988 (United States)",6.7,3500.0,Bigas Luna,Bigas Luna,Zelda Rubinstein,Spain,,,Luna Films,89.0
The Kindred,R,Horror,1987,"January 30, 1987 (Canada)",5.6,1700.0,Stephen Carpenter,Stephen Carpenter,Rod Steiger,United States,,2407024.0,Kindred Limited Partnership,91.0
The Blob,R,Horror,1988,"August 5, 1988 (United States)",6.5,34000.0,Chuck Russell,Theodore Simonson,Shawnee Smith,United States,19000000.0,8247943.0,TriStar Pictures,95.0
A Nightmare on Elm Street 4: The Dream Master,R,Horror,1988,"August 19, 1988 (United States)",5.7,51000.0,Renny Harlin,Wes Craven,Robert Englund,United States,13000000.0,49369899.0,New Line Cinema,93.0
Halloween 4: The Return of Michael Myers,R,Horror,1988,"October 21, 1988 (United States)",5.9,45000.0,Dwight H. Little,Dhani Lipsius,Donald Pleasence,United States,5000000.0,17768757.0,Trancas International Films,88.0
Friday the 13th Part VII: the New Blood,R,Horror,1988,"May 13, 1988 (United States)",5.3,34000.0,John Carl Buechler,Daryl Haney,Terry Kiser,United States,2800000.0,19170001.0,Paramount Pictures,88.0
Hellbound: Hellraiser II,R,Horror,1988,"December 23, 1988 (United States)",6.5,44000.0,Tony Randel,Peter Atkins,Doug Bradley,United Kingdom,3000000.0,12090735.0,New World Pictures,97.0
Poltergeist III,PG,Horror,1988,"June 10, 1988 (United States)",4.7,17000.0,Gary Sherman,Gary Sherman,Heather O'Rourke,United States,10500000.0,14114488.0,Metro-Goldwyn-Mayer (MGM),98.0
The Unholy,R,Horror,1988,"April 22, 1988 (United States)",5.0,1700.0,Camilo Vila,Philip Yordan,Ben Cross,United States,,6337299.0,Vestron Pictures,102.0
Bad Dreams,R,Horror,1988,"April 8, 1988 (United States)",5.6,3600.0,Andrew Fleming,Andrew Fleming,Jennifer Rubin,United States,4000000.0,9797098.0,No Frills Film Production,80.0
Pulse,PG-13,Horror,1988,"March 4, 1988 (United States)",5.4,2300.0,Paul Golding,Paul Golding,Cliff De Young,United States,6000000.0,40397.0,Aspen Film Society,91.0
Dead Calm,R,Horror,1989,"April 7, 1989 (United States)",6.8,38000.0,Phillip Noyce,Terry Hayes,Nicole Kidman,Australia,10400000.0,7825009.0,Kennedy Miller Productions,96.0
Halloween 5: The Revenge of Michael Myers,R,Horror,1989,"October 13, 1989 (United States)",5.1,36000.0,Dominique Othenin-Girard,John Carpenter,Donald Pleasence,United States,5000000.0,11642254.0,Magnum Pictures Inc.,96.0
Stepfather II: Make Room for Daddy,R,Horror,1989,"November 3, 1989 (United States)",5.7,3700.0,Jeff Burr,Carolyn Lefcourt,Terry O'Quinn,United Kingdom,1500000.0,1519796.0,Incorporated Television Company (ITC),93.0
The Horror Show,R,Horror,1989,"April 28, 1989 (United States)",5.0,3600.0,James Isaac,Allyn Warner,Lance Henriksen,United States,3000000.0,1738897.0,Sean S. Cunningham Films,95.0
After Midnight,R,Horror,1989,"November 3, 1989 (United States)",5.5,1700.0,Jim Wheat,Ken Wheat,Jillian McWhirter,United States,3000000.0,76325.0,High Bar Productions,90.0
The Terror Within,R,Horror,1989,"January 20, 1989 (United States)",4.8,1600.0,Thierry Notz,Thomas McKelvey Cleaver,Andrew Stevens,United States,,858591.0,Concorde Pictures,88.0
Edge of Sanity,R,Horror,1989,"April 14, 1989 (United States)",5.2,1300.0,GÃ©rard KikoÃ¯ne,J.P. FÃ©lix,Anthony Perkins,United Kingdom,,,Allied Vision,85.0
Child's Play 2,R,Horror,1990,"November 9, 1990 (United States)",5.9,47000.0,John Lafia,Don Mancini,Alex Vincent,United States,13000000.0,35763605.0,Universal Pictures,84.0
Night of the Living Dead,R,Horror,1990,"October 19, 1990 (United States)",6.9,40000.0,Tom Savini,John A. Russo,Tony Todd,United States,4200000.0,5835247.0,21st Century Film Corporation,92.0
Leatherface: Texas Chainsaw Massacre III,R,Horror,1990,"January 12, 1990 (United States)",5.1,15000.0,Jeff Burr,Kim Henkel,Kate Hodge,United States,2000000.0,5765562.0,Nicolas Entertainment,85.0
Graveyard Shift,R,Horror,1990,"October 26, 1990 (United States)",4.9,10000.0,Ralph S. Singleton,Stephen King,David Andrews,United States,10500000.0,11582891.0,Paramount Pictures,89.0
Brain Dead,R,Horror,1990,"January 19, 1990 (United States)",6.0,4100.0,Adam Simon,Charles Beaumont,Bill Pullman,United States,2000000.0,1627955.0,Concorde Pictures,85.0
Two Evil Eyes,R,Horror,1990,"October 25, 1991 (United States)",6.1,6400.0,Dario Argento,Edgar Allan Poe,Adrienne Barbeau,Italy,9000000.0,349618.0,ADC Films,120.0
Def by Temptation,R,Horror,1990,"May 11, 1990 (United States)",4.7,1400.0,James Bond III,James Bond III,James Bond III,United States,,2218579.0,Bonded Filmworks,95.0
The Haunting of Morella,R,Horror,1990,"February 9, 1990 (United States)",4.4,694.0,Jim Wynorski,Edgar Allan Poe,Nicole Eggert,United States,,1547867.0,Concorde-New Horizons,82.0
Child's Play 3,R,Horror,1991,"August 30, 1991 (United States)",5.1,37000.0,Jack Bender,Don Mancini,Justin Whalin,United Kingdom,13000000.0,20560255.0,Universal Pictures,90.0
The Pit and the Pendulum,R,Horror,1991,April 1991 (United States),6.0,4400.0,Stuart Gordon,Edgar Allan Poe,Lance Henriksen,United States,2000000.0,,Empire Pictures,97.0
Scissors,R,Horror,1991,"March 22, 1991 (United States)",5.2,2700.0,Frank De Felitta,Joyce Selznick,Sharon Stone,United States,,2368.0,DDM Film Corporation,105.0
Body Parts,R,Horror,1991,"August 2, 1991 (United States)",5.6,4100.0,Eric Red,Pierre Boileau,Jeff Fahey,United States,10000000.0,9188150.0,Paramount Pictures,88.0
Candyman,R,Horror,1992,"October 16, 1992 (United States)",6.6,74000.0,Bernard Rose,Clive Barker,Virginia Madsen,United States,6000000.0,25795897.0,Candyman Films,99.0
Dracula,R,Horror,1992,"November 13, 1992 (United States)",7.4,199000.0,Francis Ford Coppola,Bram Stoker,Gary Oldman,United Kingdom,40000000.0,215862692.0,American Zoetrope,128.0
The Lawnmower Man,R,Horror,1992,"March 6, 1992 (United States)",5.4,34000.0,Brett Leonard,Stephen King,Jeff Fahey,United Kingdom,10000000.0,32100816.0,Allied Vision,108.0
Hellraiser III: Hell on Earth,R,Horror,1992,"September 11, 1992 (United States)",5.5,28000.0,Anthony Hickox,Peter Atkins,Terry Farrell,United States,5000000.0,12534961.0,Fifth Avenue Entertainment,97.0
Children of the Corn II: the Final Sacrifice,R,Horror,1992,"January 29, 1993 (United States)",4.3,7900.0,David Price,A L Katz,Terence Knox,United States,900000.0,6980986.0,Fifth Avenue Entertainment,92.0
Return of the Living Dead III,,Horror,1993,"February 25, 1994 (Brazil)",5.9,14000.0,Brian Yuzna,John Penney,Kent McCord,United States,2000000.0,54207.0,Bandai Visual Company,97.0
Body Snatchers,R,Horror,1993,"February 18, 1994 (United States)",6.0,17000.0,Abel Ferrara,Jack Finney,Gabrielle Anwar,United States,13000000.0,428868.0,Dorset Productions,87.0
Ghost in the Machine,R,Horror,1993,"December 29, 1993 (United States)",4.6,3400.0,Rachel Talalay,William Davies,Karen Allen,United States,12000000.0,5086909.0,Twentieth Century Fox,95.0
The Dark Half,R,Horror,1993,"April 23, 1993 (United States)",6.0,16000.0,George A. Romero,Stephen King,Timothy Hutton,United States,15000000.0,10611160.0,Orion Pictures,122.0
Carnosaur,R,Horror,1993,"May 21, 1993 (United States)",3.6,3700.0,Adam Simon,John Brosnan,Diane Ladd,United States,850000.0,1753979.0,New Horizons Picture,83.0
The Puppet Masters,R,Horror,1994,"October 21, 1994 (United States)",5.9,8500.0,Stuart Orme,Robert A. Heinlein,Donald Sutherland,United States,,8647042.0,Hollywood Pictures,109.0
Mosquito,R,Horror,1994,"November 21, 1994 (Japan)",4.7,2200.0,Gary Jones,Tom Chaney,Gunnar Hansen,United States,200000.0,,Antibes Inc.,92.0
Halloween: The Curse of Michael Myers,R,Horror,1995,"September 29, 1995 (United States)",4.8,32000.0,Joe Chappelle,Debra Hill,Donald Pleasence,United States,5000000.0,15116634.0,Halloween VI Productions,87.0
Village of the Damned,R,Horror,1995,"April 28, 1995 (United States)",5.7,30000.0,John Carpenter,John Wyndham,Christopher Reeve,United States,22000000.0,9418365.0,Universal Pictures,98.0
Candyman: Farewell to the Flesh,R,Horror,1995,"March 17, 1995 (United States)",5.3,11000.0,Bill Condon,Clive Barker,Tony Todd,United States,6000000.0,13940383.0,PolyGram Filmed Entertainment,95.0
Lord of Illusions,R,Horror,1995,"August 25, 1995 (United States)",6.1,15000.0,Clive Barker,Clive Barker,Scott Bakula,United States,12000000.0,13294422.0,Seraphim Films,109.0
Screamers,R,Horror,1995,"January 26, 1996 (United States)",6.4,26000.0,Christian Duguay,Philip K. Dick,Peter Weller,Canada,20000000.0,5711695.0,Triumph Films,108.0
The Mangler,R,Horror,1995,"March 3, 1995 (United States)",4.3,8500.0,Tobe Hooper,Tobe Hooper,Robert Englund,South Africa,,1781383.0,Distant Horizon,106.0
Scream,R,Horror,1996,"December 20, 1996 (United States)",7.3,295000.0,Wes Craven,Kevin Williamson,Neve Campbell,United States,14000000.0,173046663.0,Dimension Films,111.0
The Island of Dr. Moreau,PG-13,Horror,1996,"August 23, 1996 (United States)",4.5,32000.0,John Frankenheimer,H.G. Wells,David Thewlis,United States,40000000.0,49627779.0,New Line Cinema,96.0
Hellraiser: Bloodline,R,Horror,1996,"March 8, 1996 (United States)",5.1,20000.0,Director,Peter Atkins,Bruce Ramsay,United States,4000000.0,9336886.0,Dimension Films,85.0
Bad Moon,R,Horror,1996,"November 1, 1996 (United States)",5.8,6200.0,Eric Red,Wayne Smith,Mariel Hemingway,United States,7000000.0,1060264.0,Morgan Creek Entertainment,80.0
Event Horizon,R,Horror,1997,"August 15, 1997 (United States)",6.7,164000.0,Paul W.S. Anderson,Philip Eisner,Laurence Fishburne,United Kingdom,60000000.0,26673829.0,Golar Productions,96.0
Scream 2,R,Horror,1997,"December 12, 1997 (United States)",6.2,161000.0,Wes Craven,Kevin Williamson,Neve Campbell,United States,24000000.0,172363301.0,Dimension Films,120.0
I Know What You Did Last Summer,R,Horror,1997,"October 17, 1997 (United States)",5.7,136000.0,Jim Gillespie,Lois Duncan,Jennifer Love Hewitt,United States,17000000.0,125586134.0,Mandalay Entertainment,101.0
Mimic,R,Horror,1997,"August 22, 1997 (United States)",6.0,47000.0,Guillermo del Toro,Donald A. Wollheim,Mira Sorvino,United States,30000000.0,25480803.0,Dimension Films,105.0
The Relic,R,Horror,1997,"January 10, 1997 (United States)",5.8,26000.0,Peter Hyams,Douglas Preston,Penelope Ann Miller,United Kingdom,40000000.0,33956608.0,British Broadcasting Corporation (BBC),110.0
The Faculty,R,Horror,1998,"December 25, 1998 (United States)",6.5,114000.0,Robert Rodriguez,David Wechter,Jordana Brewster,United States,15000000.0,40283321.0,Dimension Films,104.0
Urban Legend,R,Horror,1998,"September 25, 1998 (United States)",5.6,62000.0,Jamie Blanks,Silvio Horta,Jared Leto,Canada,14000000.0,72527595.0,Phoenix Pictures,99.0
Psycho,R,Horror,1998,"December 4, 1998 (United States)",4.6,46000.0,Gus Van Sant,Robert Bloch,Vince Vaughn,United States,60000000.0,37170655.0,Universal Pictures,105.0
Halloween H20: 20 Years Later,R,Horror,1998,"August 5, 1998 (United States)",5.8,68000.0,Steve Miner,Debra Hill,Jamie Lee Curtis,United States,17000000.0,55041738.0,Dimension Films,86.0
Disturbing Behavior,R,Horror,1998,"July 24, 1998 (United States)",5.6,21000.0,David Nutter,Scott Rosenberg,James Marsden,Australia,15000000.0,17514980.0,Metro-Goldwyn-Mayer (MGM),84.0
I Still Know What You Did Last Summer,R,Horror,1998,"November 13, 1998 (United States)",4.7,70000.0,Danny Cannon,Lois Duncan,Jennifer Love Hewitt,United States,65000000.0,40002112.0,Columbia Pictures,100.0
Phantoms,R,Horror,1998,"January 23, 1998 (United States)",5.4,20000.0,Joe Chappelle,Dean R. Koontz,Peter O'Toole,United States,,5624282.0,Miramax,96.0
Strangeland,R,Horror,1998,"October 2, 1998 (United States)",5.1,6700.0,John Pieplow,Dee Snider,Kevin Gage,United States,1100000.0,713239.0,Shooting Gallery,85.0
The Blair Witch Project,R,Horror,1999,"July 30, 1999 (United States)",6.5,239000.0,Daniel Myrick,Daniel Myrick,Heather Donahue,United States,60000.0,248639099.0,Haxan Films,81.0
eXistenZ,R,Horror,1999,"April 23, 1999 (United States)",6.8,96000.0,David Cronenberg,David Cronenberg,Jude Law,United Kingdom,15000000.0,2856712.0,Dimension Films,97.0
Stir of Echoes,R,Horror,1999,"September 10, 1999 (United States)",7.0,77000.0,David Koepp,Richard Matheson,Kevin Bacon,United States,12000000.0,21142914.0,Artisan Entertainment,99.0
Stigmata,R,Horror,1999,"September 10, 1999 (United States)",6.2,66000.0,Rupert Wainwright,Tom Lazarus,Patricia Arquette,United States,29000000.0,89446268.0,Metro-Goldwyn-Mayer (MGM),103.0
The Rage: Carrie 2,R,Horror,1999,"March 12, 1999 (United States)",4.7,16000.0,Katt Shea,Stephen King,Emily Bergl,United States,21000000.0,17762705.0,United Artists,104.0
