name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Came a Hot Friday,PG,Adventure,1985,"October 4, 1985 (United States)",6.6,192.0,Ian Mune,Ronald Hugh Morrieson,Peter Bland,New Zealand,,,Mirage Films,101.0
Stand by Me,R,Adventure,1986,"August 22, 1986 (United States)",8.1,374000.0,Rob Reiner,Stephen King,Wil Wheaton,United States,8000000.0,52287414.0,Columbia Pictures,89.0
Labyrinth,PG,Adventure,1986,"June 27, 1986 (United States)",7.4,127000.0,Jim Henson,Dennis Lee,David Bowie,United Kingdom,25000000.0,13915874.0,Henson Associates (HA),101.0
The Mosquito Coast,PG,Adventure,1986,"November 26, 1986 (United States)",6.6,28000.0,Peter Weir,Paul Theroux,Harrison Ford,United States,25000000.0,14302779.0,The Saul Zaentz Company,117.0
Flight of the Navigator,PG,Adventure,1986,"August 1, 1986 (United States)",6.9,45000.0,Randal Kleiser,Mark H. Baker,Joey Cramer,United States,9000000.0,18564613.0,Walt Disney Pictures,90.0
The Mission,PG,Adventure,1986,"October 31, 1986 (United States)",7.4,57000.0,Roland Joff̩,Robert Bolt,Robert De Niro,United Kingdom,24500000.0,17502499.0,Warner Bros.,125.0
SpaceCamp,PG,Adventure,1986,"June 6, 1986 (United States)",5.7,13000.0,Harry Winer,Clifford Green,Kate Capshaw,United States,18000000.0,9697739.0,ABC Motion Pictures,107.0
The Clan of the Cave Bear,R,Adventure,1986,"January 17, 1986 (United States)",5.4,6200.0,Michael Chapman,Jean M. Auel,Daryl Hannah,United States,15000000.0,1953732.0,Warner Bros.,98.0
The Adventures of Milo and Otis,G,Adventure,1986,"August 25, 1989 (United States)",7.0,11000.0,Masanori Hata,Masanori Hata,Ky̫ko Koizumi,Japan,,13299749.0,Fuji Television Network,76.0
Castaway,R,Adventure,1986,"September 11, 1987 (United States)",5.8,3100.0,Nicolas Roeg,Lucy Irvine,Oliver Reed,United Kingdom,,,Cannon Screen Entertainment,117.0
Shanghai Surprise,PG-13,Adventure,1986,"August 29, 1986 (United States)",3.2,5000.0,Jim Goddard,John Kohn,Sean Penn,United Kingdom,17000000.0,2315683.0,HandMade Films,97.0
Biggles: Adventures in Time,PG,Adventure,1986,"January 29, 1988 (United States)",5.7,2800.0,John Hough,W.E. Johns,Neil Dickson,United Kingdom,,,Compact Yellowbill,108.0
Tai-Pan,R,Adventure,1986,"November 7, 1986 (United States)",5.6,1600.0,Daryl Duke,John Briley,Bryan Brown,United States,25000000.0,4007250.0,De Laurentiis Entertainment Group (DEG),127.0
The Princess Bride,PG,Adventure,1987,"October 9, 1987 (United States)",8.1,402000.0,Rob Reiner,William Goldman,Cary Elwes,United Kingdom,16000000.0,30902642.0,Act III Communications,98.0
Adventures in Babysitting,PG-13,Adventure,1987,"July 3, 1987 (United States)",6.9,40000.0,Chris Columbus,David Simkins,Elisabeth Shue,United States,7000000.0,34368475.0,Touchstone Pictures,102.0
Spaceballs,PG,Adventure,1987,"June 24, 1987 (United States)",7.1,176000.0,Mel Brooks,Mel Brooks,Mel Brooks,United States,22700000.0,38119483.0,Brooksfilms,96.0
Jaws: the Revenge,PG-13,Adventure,1987,"July 17, 1987 (United States)",3.0,42000.0,Joseph Sargent,Peter Benchley,Lorraine Gary,United States,23000000.0,51881013.0,Universal Pictures,89.0
The Garbage Pail Kids Movie,PG,Adventure,1987,"August 22, 1987 (United States)",2.6,7600.0,Rod Amateau,Linda Palmer,Anthony Newley,United States,1000000.0,1576615.0,Atlantic Entertainment Group,100.0
White Water Summer,PG,Adventure,1987,"July 10, 1987 (United States)",6.2,5200.0,Jeff Bleckner,Manya Starr,Kevin Bacon,United States,,300859.0,Columbia Pictures,90.0
"No Retreat, No Surrender 2",R,Adventure,1987,"January 27, 1989 (United States)",5.1,1600.0,Corey Yuen,Maria Elena Cellino,Loren Avedon,Hong Kong,,,Seasonal Film Corporation,92.0
The Big Blue,PG,Adventure,1988,"August 19, 1988 (United States)",7.6,49000.0,Luc Besson,Luc Besson,Jean-Marc Barr,France,,3975244.0,Gaumont,168.0
The Adventures of Baron Munchausen,PG,Adventure,1988,"March 10, 1989 (United States)",7.2,52000.0,Terry Gilliam,Charles McKeown,John Neville,United Kingdom,46630000.0,8083123.0,Prominent Features,126.0
Mac and Me,PG,Adventure,1988,"August 12, 1988 (United States)",3.4,12000.0,Stewart Raffill,Stewart Raffill,Christine Ebersole,United States,13000000.0,6424112.0,Mac and Me Joint Venture,99.0
The New Adventures of Pippi Longstocking,G,Adventure,1988,"July 29, 1988 (United States)",5.9,4000.0,Ken Annakin,Astrid Lindgren,Tami Erin,Sweden,5000000.0,3569939.0,Columbia Pictures,100.0
Cocoon: the Return,PG,Adventure,1988,"November 23, 1988 (United States)",5.4,16000.0,Daniel Petrie,David Saperstein,Don Ameche,United States,17500000.0,25024919.0,Zanuck/Brown Productions,116.0
The Beast of War,R,Adventure,1988,"September 7, 1988 (France)",7.3,9100.0,Kevin Reynolds,William Mastrosimone,George Dzundza,United States,8000000.0,161004.0,A&M Films,111.0
Big Top Pee-wee,PG,Adventure,1988,"July 22, 1988 (United States)",5.1,8800.0,Randal Kleiser,Paul Reubens,Paul Reubens,United States,,15122324.0,Paramount Pictures,86.0
The Bear,PG,Adventure,1988,"October 27, 1989 (United States)",7.7,17000.0,Jean-Jacques Annaud,James Oliver Curwood,Tch̩ky Karyo,France,,31753898.0,Price,96.0
Return to Snowy River,PG,Adventure,1988,"April 15, 1988 (United States)",6.6,2400.0,Geoff Burrowes,John Dixon,Tom Burlinson,Australia,,13687027.0,Burrowes Film Group,99.0
Vibes,PG,Adventure,1988,"August 5, 1988 (United States)",5.7,3900.0,Ken Kwapis,Deborah Blum,Cyndi Lauper,United States,18000000.0,1883811.0,Imagine Entertainment,99.0
Bill & Ted's Excellent Adventure,PG,Adventure,1989,"February 17, 1989 (United States)",7.0,123000.0,Stephen Herek,Chris Matheson,Keanu Reeves,United States,10000000.0,40508994.0,De Laurentiis Entertainment Group (DEG),90.0
The Abyss,PG-13,Adventure,1989,"August 9, 1989 (United States)",7.5,167000.0,James Cameron,James Cameron,Ed Harris,United States,70000000.0,90000098.0,Twentieth Century Fox,140.0
Back to the Future Part II,PG,Adventure,1989,"November 22, 1989 (United States)",7.8,494000.0,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,United States,40000000.0,332500002.0,Universal Pictures,108.0
"Honey, I Shrunk the Kids",PG,Adventure,1989,"June 23, 1989 (United States)",6.4,146000.0,Joe Johnston,Stuart Gordon,Rick Moranis,United States,18000000.0,222724172.0,Walt Disney Pictures,93.0
Weekend at Bernie's,PG-13,Adventure,1989,"July 5, 1989 (United States)",6.4,51000.0,Ted Kotcheff,Robert Klane,Andrew McCarthy,United States,,30218387.0,Gladden Entertainment,97.0
Little Monsters,PG,Adventure,1989,"August 25, 1989 (United States)",6.1,12000.0,Richard Greenberg,Terry Rossio,Fred Savage,United States,,793775.0,Davis Entertainment,100.0
The Wizard,PG,Adventure,1989,"December 15, 1989 (United States)",6.1,14000.0,Todd Holland,David Chisholm,Fred Savage,United States,6000000.0,14278900.0,Carolco Pictures,100.0
Leviathan,R,Adventure,1989,"March 17, 1989 (United States)",5.8,19000.0,George P. Cosmatos,David Webb Peoples,Peter Weller,United States,25000000.0,15704614.0,Filmauro,98.0
Troop Beverly Hills,PG,Adventure,1989,"March 24, 1989 (United States)",5.8,9600.0,Jeff Kanew,Ava Ostern Fries,Shelley Long,United States,18000000.0,8508843.0,Weintraub Entertainment Group,105.0
Friday the 13th Part VIII: Jason Takes Manhattan,R,Adventure,1989,"July 28, 1989 (United States)",4.6,35000.0,Rob Hedden,Rob Hedden,Jensen Daggett,Canada,5000000.0,14343976.0,Paramount Pictures,100.0
Brenda Starr,PG,Adventure,1989,"April 15, 1992 (United States)",4.8,1000.0,Robert Ellis Miller,Noreen Stone,Brooke Shields,United States,16000000.0,67878.0,AM/PM Entertainment,93.0
Old Gringo,R,Adventure,1989,"October 6, 1989 (United States)",5.8,1800.0,Luis Puenzo,Carlos Fuentes,Jane Fonda,United States,34000000.0,3574256.0,Columbia Pictures,119.0
Cheetah,G,Adventure,1989,"August 18, 1989 (United States)",6.0,943.0,Jeff Blyth,Alan Caillou,Keith Coogan,United States,5000000.0,8153677.0,Silver Screen Partners III,83.0
Breaking In,R,Adventure,1989,"October 13, 1989 (United States)",6.1,1400.0,Bill Forsyth,John Sayles,Burt Reynolds,United States,6000000.0,1877618.0,Act III Communications,94.0
Dances with Wolves,PG-13,Adventure,1990,"November 21, 1990 (United States)",8.0,247000.0,Kevin Costner,Michael Blake,Kevin Costner,United States,22000000.0,424208848.0,Tig Productions,181.0
The Witches,PG,Adventure,1990,"August 24, 1990 (United States)",6.9,46000.0,Nicolas Roeg,Roald Dahl,Anjelica Huston,United Kingdom,,10360553.0,Lorimar Film Entertainment,91.0
Back to the Future Part III,PG,Adventure,1990,"May 25, 1990 (United States)",7.4,416000.0,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,United States,40000000.0,245077583.0,Universal Pictures,118.0
Lord of the Flies,R,Adventure,1990,"March 16, 1990 (United States)",6.4,28000.0,Harry Hook,William Golding,Balthazar Getty,United States,,13985225.0,Castle Rock Entertainment,90.0
The NeverEnding Story II: The Next Chapter,PG,Adventure,1990,"February 8, 1991 (United States)",5.2,25000.0,George Miller,Karin Howard,Jonathan Brandis,Germany,36000000.0,17373527.0,Warner Bros.,89.0
The Sheltering Sky,R,Adventure,1990,"December 12, 1990 (United States)",6.8,12000.0,Bernardo Bertolucci,Paul Bowles,Debra Winger,United Kingdom,25000000.0,2075084.0,Recorded Picture Company (RPC),138.0
White Hunter Black Heart,PG,Adventure,1990,"September 14, 1990 (United States)",6.6,11000.0,Clint Eastwood,Peter Viertel,Clint Eastwood,United States,24000000.0,2319124.0,Malpaso Productions,112.0
Mountains of the Moon,R,Adventure,1990,"February 23, 1990 (United States)",7.2,3500.0,Bob Rafelson,William Harrison,Patrick Bergin,United States,19000000.0,4011793.0,Carolco Pictures,136.0
Spaced Invaders,PG,Adventure,1990,"April 27, 1990 (United States)",5.3,3300.0,Patrick Read Johnson,Patrick Read Johnson,Douglas Barr,United States,3000000.0,15369573.0,Silver Screen Partners IV,100.0
My Father's Glory,G,Adventure,1990,August 1991 (United States),7.6,6200.0,Yves Robert,Louis Nuc̩ra,Philippe Caub̬re,France,,1730856.0,Gaumont,105.0
Hook,PG,Adventure,1991,"December 11, 1991 (United States)",6.8,240000.0,Steven Spielberg,J.M. Barrie,Dustin Hoffman,United States,70000000.0,300854823.0,Amblin Entertainment,142.0
Thelma & Louise,R,Adventure,1991,"May 24, 1991 (United States)",7.5,142000.0,Ridley Scott,Callie Khouri,Susan Sarandon,United States,16500000.0,45456285.0,Path̩ Entertainment,130.0
Bill & Ted's Bogus Journey,PG,Adventure,1991,"July 19, 1991 (United States)",6.3,72000.0,Peter Hewitt,Chris Matheson,Keanu Reeves,United States,20000000.0,38039850.0,Nelson Entertainment,93.0
Return to the Blue Lagoon,PG-13,Adventure,1991,"August 2, 1991 (United States)",5.2,19000.0,William A. Graham,Henry De Vere Stacpoole,Brian Krause,United States,11000000.0,2807854.0,Columbia Pictures,102.0
White Fang,PG,Adventure,1991,"January 18, 1991 (United States)",6.7,20000.0,Randal Kleiser,Jack London,Ethan Hawke,United States,14000000.0,34793160.0,Walt Disney Pictures,107.0
Black Robe,R,Adventure,1991,"October 4, 1991 (United States)",7.1,6600.0,Bruce Beresford,Brian Moore,Lothaire Bluteau,Canada,,8211952.0,Alliance Communications Corporation,101.0
K2,R,Adventure,1991,"May 1, 1992 (United States)",6.2,6500.0,Franc Roddam,Patrick Meyers,Michael Biehn,United Kingdom,,3106559.0,Paramount Pictures,104.0
Bingo,PG,Adventure,1991,"August 9, 1991 (United States)",4.9,2700.0,Matthew Robbins,Jim Strain,Cindy Williams,United States,10000000.0,8667684.0,TriStar Pictures,89.0
Far and Away,PG-13,Adventure,1992,"May 22, 1992 (United States)",6.6,60000.0,Ron Howard,Bob Dolman,Tom Cruise,United States,60000000.0,137783840.0,Imagine Films Entertainment,140.0
Home Alone 2: Lost in New York,PG,Adventure,1992,"November 20, 1992 (United States)",6.8,318000.0,Chris Columbus,John Hughes,Macaulay Culkin,United States,28000000.0,358994850.0,Twentieth Century Fox,120.0
"Honey, I Blew Up the Kid",PG,Adventure,1992,"July 17, 1992 (United States)",4.9,42000.0,Randal Kleiser,Stuart Gordon,Rick Moranis,United States,40000000.0,58662452.0,Touchwood Pacific Partners 1,89.0
Captain Ron,PG-13,Adventure,1992,"September 18, 1992 (United States)",5.8,21000.0,Thom Eberhardt,John Dwyer,Kurt Russell,United States,24000000.0,22518097.0,Touchstone Pictures,100.0
Toys,PG-13,Adventure,1992,"December 18, 1992 (United States)",5.1,31000.0,Barry Levinson,Valerie Curtin,Robin Williams,United States,43000000.0,23278931.0,Baltimore Pictures,118.0
1492: Conquest of Paradise,PG-13,Adventure,1992,"October 9, 1992 (United States)",6.5,29000.0,Ridley Scott,Rose Bosch,G̩rard Depardieu,United Kingdom,47000000.0,7191399.0,Gaumont,154.0
Medicine Man,PG-13,Adventure,1992,"February 7, 1992 (United States)",6.0,22000.0,John McTiernan,Tom Schulman,Sean Connery,United States,40000000.0,45500797.0,Hollywood Pictures,106.0
Stay Tuned,PG,Adventure,1992,"August 14, 1992 (United States)",6.2,11000.0,Peter Hyams,Tom S. Parker,John Ritter,United States,25000000.0,10736401.0,Morgan Creek Entertainment,88.0
Mom and Dad Save the World,PG,Adventure,1992,"July 24, 1992 (United States)",5.4,4400.0,Greg Beeman,Chris Matheson,Teri Garr,United States,14000000.0,2034470.0,Home Box Office (HBO),88.0
Christopher Columbus: The Discovery,PG-13,Adventure,1992,"August 21, 1992 (United States)",4.5,2800.0,John Glen,Mario Puzo,Marlon Brando,United Kingdom,40000000.0,8251071.0,Christopher Columbus Productions,120.0
Into the West,PG,Adventure,1992,"September 17, 1993 (United States)",7.0,2800.0,Mike Newell,Jim Sheridan,Gabriel Byrne,Ireland,,4790801.0,Channel Four Films,97.0
Map of the Human Heart,R,Adventure,1992,"May 14, 1993 (United States)",7.1,3100.0,Vincent Ward,Louis Nowra,Jason Scott Lee,Australia,,2806881.0,Australian Film Finance Corporation (AFFC),109.0
Shadow of the Wolf,PG-13,Adventure,1992,"March 5, 1993 (United States)",5.7,876.0,Jacques Dorfmann,Jacques Dorfmann,Lou Diamond Phillips,France,,1434174.0,Vision International,112.0
Robin Hood: Men in Tights,PG-13,Adventure,1993,"July 28, 1993 (United States)",6.7,119000.0,Mel Brooks,J.D. Shapiro,Cary Elwes,France,20000000.0,35739755.0,Brooksfilms,104.0
Super Mario Bros.,PG,Adventure,1993,"May 28, 1993 (United States)",4.1,50000.0,Annabel Jankel,Parker Bennett,Bob Hoskins,United Kingdom,48000000.0,20915465.0,Allied Filmmakers,104.0
Homeward Bound: The Incredible Journey,G,Adventure,1993,"February 12, 1993 (United States)",6.9,43000.0,Duwayne Dunham,Sheila Burnford,Michael J. Fox,United States,,41833324.0,Touchwood Pacific Partners 1,84.0
Free Willy,PG,Adventure,1993,"July 16, 1993 (United States)",6.0,71000.0,Simon Wincer,Keith Walker,Jason James Richter,United States,20000000.0,153698625.0,Warner Bros. Family Entertainment,112.0
Cool Runnings,PG,Adventure,1993,"October 1, 1993 (United States)",7.0,96000.0,Jon Turteltaub,Lynn Siefert,John Candy,United States,14000000.0,154856263.0,Walt Disney Pictures,98.0
Airborne,PG,Adventure,1993,"September 17, 1993 (United States)",6.3,6500.0,Rob Bowman,Bill Apablasa,Shane McDermott,United States,2600000.0,2850263.0,Icon Entertainment International,91.0
